Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.cs,30,16,P:System.Windows.Forms.ComboBox.SelectedItem,,,,,CurrentModel = (AccessModel)ModelCombo.SelectedItem;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.cs,28,12,T:System.Windows.Forms.ComboBox,,,,,"if (ModelCombo.SelectedItem != null)              {                  CurrentModel = (AccessModel)ModelCombo.SelectedItem;                  Login loginForm = new Login();                  loginForm.Show();                    this.Hide();                  loginForm.FormClosed += (s, ec) => this.Close();              }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.cs,28,12,P:System.Windows.Forms.ComboBox.SelectedItem,,,,,"if (ModelCombo.SelectedItem != null)              {                  CurrentModel = (AccessModel)ModelCombo.SelectedItem;                  Login loginForm = new Login();                  loginForm.Show();                    this.Hide();                  loginForm.FormClosed += (s, ec) => this.Close();              }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.cs,23,12,T:System.Windows.Forms.ComboBox,,,,,ModelCombo.DataSource = Enum.GetValues(typeof(AccessModel));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.cs,23,12,P:System.Windows.Forms.ComboBox.DataSource,,,,,ModelCombo.DataSource = Enum.GetValues(typeof(AccessModel));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.cs,16,8,M:System.Windows.Forms.Form.#ctor,,,,,public ChooseModel()          {              InitializeComponent();          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,91,44,T:System.Windows.Forms.Button,,,,,saveChanges
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,90,46,T:System.Windows.Forms.ComboBox,,,,,ModelCombo
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,89,43,T:System.Windows.Forms.Label,,,,,ChooseLabel
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LabApp\LabApp.csproj,File,LabApp\Forms\ChooseModel.Designer.cs,83,12,M:System.Windows.Forms.Control.PerformLayout,,,,,this.PerformLayout();
